Generic,Name,Description,Indication,Dosage,Preparation
Allylestrenol,Geston™,Systemic Sex Hormone,"Threatened Abortion, Habitual Abortion, Intrauterine Growth Retardation, Threatened premature delivery ","i. Intra Uterine Growth Retardation: 1 tablet three times daily for at least two months. The dose should be reduced if symptoms improved.
ii. Threatened abortion: 1 tablet three times daily until symptoms disappear.
iii. Habitual abortion: 1 - 2 tablets daily as soon as pregnancy is diagnosed. Continue for at least one month after the end of the critical period.
iv. Threatened premature delivery: Depending on individual’s condition & desired response, up to 40 mg daily can be used.",Geston™ Tablet: Box containing 3x10 tablets in blister pack.
Ambrisentan,Ambrisan™ 5,Cardiovascular Preparations,Pulmonary Arterial Hypertension.,"5 mg once daily, maximum recommended dose 10 mg once daily.",AmbrisanTM 5 Tablet: Each box contains 20 tablets in blister pack.
Ambroxol,Ambrox®,Respiratory Tract Preparations,"Productive cough, Acute and chronic inflammatory disorders of upper and lower respiratory tracts associated with viscid mucus including acute and chronic bronchitis, laryngitis, Pharyngitis, sinusitis and rhinitis associated with viscid mucus, Asthmatic bronchitis, bronchial asthma with thick expectoration, Bronchiectasis, Chronic pneumonia.","Average daily dose (preferably after meal) : Paediatric Drops :  0 - 6 months old - 0.5 ml, 2 times a day, 6 - 12 months old - 1 ml, 2 times a day, 1 - 2 years old -1.25 ml, 2 times a day. Syrup : 2 -5 years old - 2.5 ml (1/2 teaspoonful), 2-3 times a day, 5 - 10 years old - 5 ml (1 teaspoonful), 2-3 times a day, 10 years old and adults - 10 ml (2 teaspoonful), 3 times a day.
AmbroxÃ‚Â® 75 SR Capsule : Adults and children over 12 years old - 1 capsule, once daily
","6 mg/ml  Paediatric Drops, 15 mg/5 ml Syrup, 75 mg SR Capsule."
Amitriptyline HCl ,Tryptin®,CNS Preparations,"Tryptin® is indicated for depressive illness particularly with anxiety, chronic migraine, neuropathic pain and nocturnal enuresis in children.",Adults: The recommended initial dose is 25 mg two times daily. Elderly (above 65 years of age): The recommended initial dose is 10 mg – 25 mg daily.,"Tryptin®  10 tablet: Box containing 20 x 10 film coated tablets in strip pack.
Tryptin®  25 tablet: Box containing 20 x 10 film coated tablets in strip pack.
"
Amlexanox,Apsol®,Alimentary Preparations,For the treatment of Aphthous ulcers.," 1. Apply the paste as soon as possible after noticing the symptoms of an aphthous ulcer. Continue to use the paste four times daily, preferably following oral hygiene after breakfast, lunch, dinner, and at bedtime. 2. Dry the ulcer(s) by gently patting it with a soft, clean cloth. 3. Wash hands before applying. 4. Moisten the tip of the index finger. 5. Squeeze a dab of paste approximately 1/4 inch (0.5 cm) onto a fingertip. 6. Gently dab the paste on to the ulcer. Repeat the process if more than one ulcer. 7. Wash hands when done applying. 8. Wash eyes promptly if they should come in contact with the paste. 9. Use the paste until the ulcer heals. If significant healing or pain relief has not occurred in 10 days, consultation with the physician is required. ", Apsol® Oral Paste: Tube containing 5 gm oral paste.
Amlodipine,Camlodin®,Cardiovascular Preparations,"Hypertension, stable angina, vasospastic angina.",5-10 mg once daily.,"Camlodin® 5 tablet : Box containing 5 x 6 tablets in blister pack.
Camlodin® 10 tablet : Box containing 3 x 10 tablets in blister pack."
Amlodipine + Atenolol ,Camlodin® Plus,Cardiovascular Preparations,"Hypertension not controlled by monotherapy, Patients with angina  pectoris & hypertension as co-existing diseases, Post MI, Refractory angina pectoris where nitrate therapy has failed.","Initiated with a single dose of Amlodipine 5 mg + Atenolol 50 mg. Depending upon the therapeutic response, titration of the dosage is recommended. In elderly patients, it is advisable to initiate the therapy with Amlodipine 5 mg + Atenolol  25 mg tablet.","Camlodin®  Plus 25: Each box contains 30 tablets in blister pack.
Camlodin®  Plus: Each box contains 50 tablets in blister pack."
Amlodipine + Benazepril HCl ,Camlopril®,Cardiovascular Preparations,Hypertension. ,Amlodipine is an effective treatment of hypertension in once-daily doses of 2.5-10 mg while benazepril is effective in doses of 10-80 mg. ,"Camlopril® 5/10 - Each box contains 5 x 6 capsules in blister pack.
"
Amlodipine + Olmesartan Medoxomil,Camlosart™,Cardiovascular Preparations,Hypertension,The usual starting dose is one tablet (5/20 mg) once daily. The dosage can be increased after 1 to 2 weeks of therapy to a maximum dose of 10/40 mg once daily as needed to control blood pressure,"CamlosartTM 5/20 tablet: Each box contains 30 tablets in blister pack.
CamlosartTM 5/40 tablet: Each box contains 20 tablets in blister pack.
"
Amoxicillin,Moxacil®,Penicillins and Cephalosporins,"Infections of the ear, nose, and throat, genitourinary tract, skin and skin structure, lower respiratory tract; gonorrhea, acute uncomplicated (ano-genital and urethral infections). H. pylori eradication to reduce the risk of duodenal ulcer recurrence in combination with clarithromycin plus lansoprazol as triple therapy. Prophylactic cover for patients at risk of developing endocarditis when undergoing dental surgery.","Adult : Mild/Moderate -500 mg every 12 hours or 250 mg every 8 hours, Severe-875 mg every 12 hours or 500 mg every 8 hours. Children: Mild/Moderate-25 mg/kg/day in divided doses every 12 hours or 20mg/kg/day in divided doses every 8 hours, Severe-45 mg/kg/day in divided doses every 12 hours or 40 mg/kg/day in divided doses every 8 hours. Gonorrhea, Acute, uncomplicated ano-genital, and urethral infections in males and females 3 g as single oral dose. Prepubertal children 50 mg/Kg/Amoxicillin, combined with 25 mg/kg Probenecid as a single dose.","Moxacil® 250 Capsule : Box containing 100 capsules in blister pack.
Moxacil® 500 Capsule : Box containing 100 capsules in blister pack.
Moxacil® Powder for Suspension: Each Bottle containing dry ingredients to make 100 ml suspension.
Moxacil® Paediatric Drops : Each Bottle containing powder to make 15 ml drops."
Amoxicillin + Clavulanic acid,Moxaclav®,Penicillins and Cephalosporins,"Upper respiratory tract infections; Lower respiratory tract infections; Genito-urinary tract infections; Skin and soft tissue infections; Bone and joint infections e.g. osteomyelitis; Other infections e.g. septic abortion, puerperal sepsis, intra-abdominal sepsis, etc.","Adults and children over 12 years: One Moxaclav® 375 mg tablet three times a day. In severe infection one Moxaclav® 625mg tablet three times a day or one Moxaclav® 1gm tablet two times a day. Children of 6-12 years: 2 teaspoonsful of Moxaclav® Powder for Suspension every 8 hours. Children of 1-6 years: 1 teaspoonful of Moxaclav® Powder for Suspension every 8 hours. Children below 1 year: 25 mg/kg/day in divided doses every 8 hours. Moxaclav® Forte Powder for Suspension: Children of 2-12 years: ½ to 2 teaspoonful b.i.d. Children of 2 months to 2 years: 25/3.6 mg/kg/day to 45/6.4 mg/kg/day b.i.d. Moxaclav® 1.2 IV Injection: 1.2 g every 6-8 hours, Children up to 3 months: 30 mg/kg every 8 hours (every 12 hours in the perinatal period and in premature infants); child 3 months-12 years, 30 mg/kg every 6-8 hours. ","Moxaclav® 375 tablet : Box containing 4 x 6 film coated tablets in Alu-Alu blister pack.
Moxaclav® 625 tablet :Box containing 5 x 6 film coated tablets in Alu-Alu blister pack.
Moxaclav® 1gm tablet : Box containing 2 x 6 film coated tablets in Alu-Alu blister pack.
Moxaclav® Powder for Suspension: HDPE Bottle containing dry powder to make 100 ml suspension and HDPE Bottle containing dry powder to make 60 ml suspension.
Moxaclav® Forte Powder for Suspension : HDPE Bottle containing dry powder to make 50 ml suspension.
Moxaclav®  1.2 IV Injection: Pack of 1 vial containing sterile drug mixture accompanied by two solvents ampoule of 10 ml water for injection in each. It also contains a complementary pouch comprised of disposable syringe (20 ml), butterfly needle, alcohol pad & first aid bandage.
"
Antacid,Entacyd®,Alimentary Preparations,"Hyperacidity, peptic ulcer, gastritis, heartburn, sour stomach and dyspepsia.",Two tablets/two teaspoonful suspension 1-3 hours after meal and at bed time.,"Entacyd® tablet : Box containing 20 x 10 tablets in blister pack.
Entacyd® suspension : Bottle containing 200 ml suspension."
Antacid,Entacyd Plus®,Alimentary Preparations,"Hyperacidity, peptic ulcer, gastritis, peptic oesophagitis, gastric hyperacidity, heartburn, sour stomach or hiatus hernia.",1-2 tablets/1-2 teaspoonful suspension 1-3 hours after meal and at bed time,"Entacyd® Plus tablet : Box containing 20 x 10 tablets in blister pack.
Entacyd® Plus suspension : Bottle containing 200 ml suspension."
Antiallergic,Alacot® DS Eye Drops,Eye Preparations,Indicated for the treatment of the signs and symptoms of allergic conjunctivitis,One drop in each affected eye once a day,0.2% Eye Drops
Aripiprazole,Ariprex™,CNS Preparations,"AriprexTM is indicated for schizophrenia, bipolar disorder, adjunctive treatment of major depressive disorder, irritability associated with autistic disorder, agitation associated with schizophrenia or bipolar mania.","

Indications
Initial Dose
Recommended Dose
Maximum Dose


Schizophrenia – adults
10-15    mg/day
10-15 mg/day 
30 mg/day 


Schizophrenia – adolescents (ages 13-17 years)
2    mg/day
10 mg/day 
30 mg/day 


Bipolar mania – adults: monotherapy
15    mg/day
15 mg/day 
30 mg/day 


Bipolar mania – adults: adjunct to lithium or    valproate
10-15 mg/day 
15 mg/day 
30 mg/day 


Bipolar mania – pediatric patients (ages 10-17 years):    monotherapy or as an adjunct to lithium or valproate
2    mg/day
10    mg/day
30    mg/day


As an adjunct to antidepressants for the treatment of    major depressive disorder– adults
2-5    mg/day
5-10    mg/day
15    mg/day


Irritability associated with autistic    disorder-pediatric patients (ages 6-17 years)
2    mg/day
5-10    mg/day
15    mg/day



•	Oral formulations: Administer once daily without regard to meals
","AriprexTM 2 Tablet: Box containing 30 tablets in blister pack
AriprexTM 10 Tablet: Box containing 30 tablets in blister pack
AriprexTM 15 Tablet: Box containing 30 tablets in blister pack
AriprexTM Oral Solution: Eack PET bottle contains 50 ml oral solution with measuring cup & dropper

"
Artemether + Lumefantrine,Lumertam®,Antiparasite Preparations,"Lumertam® is indicated in the treatment and standby emergency treatment of acute uncomplicated Plasmodium falciparum malaria including mixed P. falciparum infection of adults, children and infants weighing from 5 kg and above. ",Each box of Lumertam® contains 24 tablets in a blister pack.,
Aspirin,Carva®,Cardiovascular Preparations,"Antithrombotic action, mediated through inhibition of platelet activation, secondary prophylaxis following myocardial infarction and unstable angina or cerebral transient ischemic attacks.",150 mg at diagnosis and 75 mg daily thereafter.,Carva® 75 tablet: Box containing 20 x 10 tablets in strip pack.
Astaxanthin,Zanthin™,Other Vitamins,"Zanthin™ is indicated as strong antioxidant. This product is also indicated for beautification and skin improvement, healthy immune system, cardiovascular health, to treat chronic inflammation & healthy brain function.","The recommended daily dosage is fairly standardized at a 4 mg per day. Following is a table of recommended dosages:   Dosage Use   2-4 mg Antioxidant, Cardiovascular Health, Immune System Enhancer    4-8 mg Internal Beauty and Skin Improvement, Strength and endurance, Brain and Central Nervous System Health, Eye Health    4-12 mg Arthritis, Silent inflammation (C-reactive protein), Internal Sunscreen   ","Zanthin™ 2 Licap: Each pack contains 30 capsules in blister pack
Zanthin™ 4 Licap: Each pack contains 20 capsules in blister pack"
